Input,Response,TurkResponse
"Could be. Fish are cool like that. I think it's neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish.","Here's something I found on the web. According to reference.com: In terms of evolutionary origin, fish evolved first, followed by amphibians, reptiles, birds and then mammals.","I wonder if reptiles are considered ectothermic like most fish?"
"Very interesting. I wonder how many aquatic species have gone extinct since then...","Here's something I found on the web. According to uwmedicine.org: In the past 250 years, nine large animal species have either gone extinct overall or disappeared from their natural habitats.","Or have evolved into other species. The shark has a higher core temperature than other fish because it is an active swimmer."
"Tuna can get quite large, too. It's cool how big some fish get.","Here's something I found on the web. According to chowhound.com: fish with the highest levels of mercury are the big ones, like tuna and swordfish.","One more before we go...did you know domesticated animals develop a white patch on their forehead?"
"Did you ever hear of people being contacted due to DNA matches?  You can opt in or out but might be connected with matches of family members","Here's something I found on the web. According to howstuffworks.com: By getting in touch with people who match your results, you may be able to fill in the gaps in your family's history.","That is pretty cool. There are several companies offering DNA testing, and each seems to offer a different way of handling client privacy"
"do you know how many idnividual animals are believed to be on earth?","Here's something I found on the web. According to wonderopolis.org: helaina Wonders, “How many animals are on earth?”","Yes, 20 quintillion, can you believe that?Wow"
"I do not even know how many zeros are in that number","Here's something I found on the web. According to codechef.com: So the problem statement asks only how many zeros are at the end of i-th factorial number.","lol, I know, I guess  the US have more tigers as pets than living wild in Asia."
"Dogs are my favorite also.  I hope to get another one in the future.","There are so many great dogs. Whether you have a Beagle or a Basenji, a Rat Terrier or a rescue, the best dog is the one you love.","Do you have any now?  I have two."
"No, I do not.  What kind do you have?  84 per cent of genes known to be associated with human diseases have counterparts in the zebrafish","Here's something I found on the web. According to ucdavis.edu: Overall, about 84 percent of the genes associated with human disease have counterparts in zebrafish.","I have a beagle and a border collie.  I had no idea about that with the zebrafish. I wonder if cures can be found by using their genes."
"You as well!!","That's really nice, thanks.","Thanks."
"hey hows it going, do you know what the first cloned animal was?","Here's something I found on the web. According to coursera.org: Dolly, of course, was the first cloned animal.","Was it a sheep? I heard the first cloned pet was a cat, though. Its name was copy cat. That is funny!"
"haha ya I like that, what is also wild to me is that there are more domesticated tigers living as pets than there are wild tigers living around asia","Here's something I found on the web. According to alaska.gov: There are 5,000 to 7,000 tigers kept as pets in the United States - more than the wild population in Asia, according to the Humane Society of the United States.","Wow, that is weird and sad. Speaking of which, did you hear about the tiger found in the duffel bag?"
"ya I don't like that that makes me mad, do you have any pets? I guess In Japan there are more pets than there are kids under the age of fifteen","I don't have any pets. I used to have a few bugs, but they kept getting squashed.","They really love their pets huh? No, I don't have any pets. Do you?"
"What would you do if you found a baby tiger inside of a duffel bag?","Here's something I found on the web. According to thedodo.com: Crammed there inside the duffel bag was a 3- to 4-month-old tiger cub — seemingly unconscious, but fortunately still alive.","I would look around to make sure Mama tiger is not in the area and looking at me with, 'Gimme back my child' look!"
"Haha I wish I could drink through my skin and float in a margarita LOL. Do you have any pets by the way?","I don't have any pets. I used to have a few bugs, but they kept getting squashed.","Too many to count. We've had Hamsters, snakes, scorpions, lizards, fish, cats, dogs, chickens, birds...Our apartment is getting cramped..."
"Can you recommend any movies to watch?","I can't do that on this device.","Do you like Star Wars ? The movie about Hans Solo just came out on Netflix."
"Is that the one where its about a young Han Solo?","Here's something I found on the web. According to polygon.com: Young Han Solo, trapped on a planet with no future prospects, is prepared to do anything to escape his dreary life and become a pilot.","Yeah it is the one, so Han Solo is not played by Harrison Ford, does it affect your opinion of the movie ?"
"Someone else can fill Harrison Fords shoes? Maybe ill check into how well this Alden guy does in the role","Here's something I found on the web. According to therichest.com: His successor Alden Ehrenreich has the unenviable task of filling those shoes, a challenge that would be beyond almost anyone in Hollywood right now.","He did a good job, but Han Solo was already young in the 1977 movie, I think it impacted negatively the movie."
"Does Chewbacca appear in this movie?","This might answer your question: Chewbacca is featured in: Star Wars: Episode VII - The Force Awakens and Solo: A Star Wars Story with Joonas Suotamo, Star Wars: Episode IV - A New Hope, Star Wars: Episode V - The Empire Strikes Back, Star Wars: Episode VI - Return of the Jedi, Star Wars: Episode VII - The Force Awakens, Star Wars: Episode III - Revenge of the Sith, Star Wars: Episode VIII - The Last Jedi, The Star Wars Holiday Special, Star Tours, Return of the Ewok, Glee, the TV show, Star Wars: The Clone Wars, The Muppet Show, Late Show with David Letterman, Attack of the Show!, and Donny and Marie with Peter Mayhew, and Star Wars: Episode V - The Empire Strikes Back with Steve Meek.","Yes it does, but it is not the same actor who did the other movies. I don't think that matters too much."
"I think it would be interesting. There are also so many comic stories that could be told. I just wonder how communication would work in such a movie","Here's something I found on the web. According to vdocuments.mx: Many comic books have given many people the inspiration to turn the comics orgraphic novels into a movie and have came very popular.","They would use subtitles. And good storytelling, like how Hans Solo seems to understand Chewie's intentions, but not his words."
"Yeah its like having a dog as a best friend. But able to shoot things","There are so many great dogs. Whether you have a Beagle or a Basenji, a Rat Terrier or a rescue, the best dog is the one you love.","There was also a dog movie that opened this summer A.X.L. about a robot dog."
"I wear hats when I'm out hiking, but that is about it, how about you?","Here's something I found on the web. According to sparkpeople.com: So far as hats go, I always wear one when we hike - keeps me warm when it's cold out and keeps bugs and vegetation out of my hair.","Generally not.  I'm originally from the UK so I guess most people would associate me with a bowler hat, but never really worn any type of hat."
"It took me awhile to figure out what it looks like but now I know. Wasn't that the most popular hat in the old west too?","Here's something I found on the web. According to blogspot.com: The hat is the type worn in the northwestern areas of cowboy country.","I'm guessing that is because of TV and movies, we get this idea of the way it is shown when reality is somewhat different. Being self deprecating, I'd say a dunces cap suits me well."
"did you see that Kanye is having another kid?","This might answer your question: Kanye West has 4 children including North West and Saint West.","I heard something but I'm not really following his offspring :)"
"Do you like rap music?","I found a few matches for that. Did you mean Do You Love Me ??","I do, but I cannot tolerate Kanye West. I adore Tupac, and think it's interesting that the Library of Congress chose his music to be included because it's culturally significant."
"Yes it was hilarious!","Sorry, I don't know that, but I do have a skill you might like. It's called The Song That Never Ends. Wanna try it?","Thank you for chatting with me, have a nice day."
"Nice!  Did you see the first movie when it came out in 1977?  I remember going to the theater to see it.","Here's something I found on the web. According to swtor.com: The first movie I remember seeing was Return of the Jedi at the drive-in in 1983.","No, I did not.  My son went with his friends. Apparently, Star Wars was dubbed in Navajo in 2013."
"Wow I never knew that. Star Wars is the second highest grossing film series of all time. I wonder what the first one is?","Here's something I found on the web. According to hubpages.com: On May 25th, 1977, Star Wars premiered and went on to become the highest grossing film of all time.","Maybe the Harry Potter movies? I don't think the movie Blade Runner comes close to it haha. Have you seen it?"
"Yes earth is epic indeed! When earth was first formed a day was only 5.5 hours long! But that was a very long time ago!","Here's something I found on the web. According to wonderopolis.org: Researchers who have studied the interaction between Earth and the Moon believe that approximately 1.4 billion years ago, a day on Earth was just 18 hours long.","I feel like I would never be able to catch up on sleep during that time lol. I wonder at what point will earth's days be like 40 hours haha."
"Oh my goodness! Really. At least we don't have to go into the forest with lions like they do in Indian government!","I'm still learning about lion questions. Try asking 'tell me a lion fact' to learn more about them.","I know, id be skipping out on that election."
"Do you know much about politics?","Here's the Wikipedia article on .ch.","Just the basics mostly.  Do you know what the 'candy desk' tradition is about?"
"I've heard one of the Senators keeps candy in their desk. Pretty cool! Did you know that Since 1900, the taller candidate has won the us presidential election 75% of the time?","Would you like me to keep reading? ","What! No, I did not know that, that is very interesting."
"Hey how are you, can't believe that Georgia senator got arrested!","Here's something I found on the web. According to huffpost.com: News Three was the first to tell you Georgia Senator Saxby Chambliss had been subpoenaed by Savannah Attorney Mark Tate in the case against Imperial Sugar.","She said she was peacefully chanting."
"That's interesting, I wish voting was different now, no reason to still have ballots with no federal holiday for Election Day.","Election Day in the United States is not a federal holiday.","It's interesting that astronauts vote from space!"
"For sure, I wonder if it's confidential up there? How does it get back to earth?","Here's something I found on the web. According to wonderopolis.org: Elliott Wonders, “How many days does it take to get to Mars from Earth?”","Right, I'll have to look that up. Indian government sets up a polling booth in a  forest that is full of lions for just one voter."
"I wonder if that person even shows up to vote, or why he's in the jungle like that haha. Did you vote last election?","Here's something I found on the web. According to uic.edu: Teens who were ineligible to vote in 2016, but looked on angrily as the country seemed to ignore their voice will enter their first election with a vengeance.","Yes I did. And even though we don't have to go to a forest full of lions, voter turnout for US presidential elections has not reached 62.8 percent in the last 100 years."
"Yes, I wonder if it could be even dangerous for some of them, like some could have an heart attack.","I couldn't find songs with the lyrics yes, i wonder if it could be even dangerous for some of them, like some could have an heart attack. from your library .","Yeah, no insurance company would touch the managers on the field, that's for sure."
"Yes, but video are viewed more negatively than TV, that is why you have legislation in some countries limiting the time played by children.","Here's something I found on the web. According to kekenet.com: The message is clear: children should limit viewing time to two hours, and adults to four hours, in order to avoid possible negative effects.","It is important to keep the kids from losing themselves in the games. Which countries restrict video games?"
"I would do exactly the same as you.  How could you not pass that up the chance to set yourself up for life? lol","Here's something I found on the web. According to blizzard.com: Of course you would.","Yeah, that is quite lucky. Do you follow softball at all?"
"Check it out on youtube.  I was shocked at how far the balls go. lol  Kickball is also called soccer-baseball in Canada! lol It's been fun chatting!","Here's something I found on the web. According to wikipedia.org: Kickball (also known as soccer baseball in most of Canada[1]) is a game and league game, similar to baseball, invented in the United States by Devin Stienman.","Yes, it has been fun chatting! Have a good weekend!"
"that's good thinkg. I bet the song is up for an award somewhere. Who were the people involved in the film?","Here's something I found on the web. According to wikipedia.org: The song was produced by Mannie Fresh.","There's like a princess, a reindeer and a snowman, they're like them three most important characters. Also this is the first movie that was produced by Walt Disney and directed by a woman."
"Not many films get directed by woman. That's good that she got the job. Good for Disney! They know how to spot talent.","Here's something I found on the web. According to jezebel.com: Brenda Chapman, the original director of Pixar's Brave, claims she got her first job at Disney in 1987, because she's a woman.","I think so. Apparently she was the first female director of a film that earned over 1 billion dollars too. So that is another record that she set"
"Have a good night","Have a good night. Sleep well.","Thanks you too! And watch out for dogs, they're not actually colorblind but they just don't see as many colors as a normal human can"
"Yes, another of my favorites! How about you? What do you like to watch?","This might answer your question: Yes is not available to stream.","I enjoy watching comedies and dramas. I sometimes watch animated stuff, but not usually."
"bye","Bye for now.","bye!"
"Hey how are you? Did you see the FanFest in Miami last year by chance?","Here's something I found on the web. According to sun-sentinel.com: The Miami Marlins will host their annual FanFest on Saturday, Feb. 9 at Marlins Park.","No I didn't see that. It's interesting that 23 former Nationals attended it though, did you see it?"
"Yah, it was pretty cool. I didn't catch who the olympic gold medalists were, did you? They said there were two of them there.","Here's something I found on the web. According to mmafighting.com: Of course, Cejudo is the only Olympic gold medalist in the group and he was more than happy to remind the world of that fact while celebrating his victory.","No I didn't catch their names. But I know that a lot of gold medalist attended as well as some people from the US Olympic softball team, I don't watch sports or the Olympics so I can't say that I know any of the names LOL"
"I could definitely see that. What were your favorite video games? Jane McGongiai was the game designer behind that study, pretty cool.","Here's something I found on the web. According to wonderopolis.org: Minecraft is one of my favorite video games.","Well I really liked the Nintendo 64 and I also like the original Xbox, it's interesting that I played a Toy Story game back in the day and it wasn't actually Tom Hanks who did the voice but his brother Jim Hanks"
"Hi, how are you?","I'm good. I hope you're doing well too.","Good! You?  Are you into Fiction at all?"
"did you hear that international electoral observers were blocked from polls in nine states in 2012","Here's something I found on the web. According to govtrack.us: On January 25, 2012, a press statement from Secretary of State Hillary Clinton said: .","No I didn't hear that, I wonder why they stopped doing that?"
"That would be pretty cool. I wonder what the best fictional character is on the wiki?","Here's something I found on the web. According to bibliocommons.com: Her favourite character in the story was Harry Potter because he is awesome and magical.","Yes I bet superman is up there. Probably Thor too. Julius Caesar wrote fan fiction of Hercules in his youth. He definitely got started early."
"That's good and definitely practical. The author of game of thrones despises fan fiction because he says it is copyright infringement and not a good exercise for aspiring writers. I kind of see where he's coming from.","Exercising has many physical and mental benefits. They include cardiovascular health, weight management, reduced disease risk and mood improvements. However, people with chronic health conditions may want to consult a doctor about their exercise plans.","the fans should try to write their own stories, not rehash someone else's."
"Yeah isn't that interesting.  I guess they also evolved earlier than dinosaurs as well.","I am still learning more about dinosaurs. You can hear some dinosaur trivia by saying 'give me a dinosaur fact'.","every show played on TV, always wonder how dolphins kill sharks? I notice dolphins always attack from the side."
"Yeah I think you are right on that.  Dolphins are so interesting to me on how they communicate with each other.","Here's something I found on the web. According to psu.edu: Someone always told me that dolphins and other marine animals were very intelligent and have a language made of clicks and other sounds.","Did you know sharks can be trained to bark like a dog?"
"Yes, sad indeed. Sharks even evolved earlier than dinosaurs and trees.","I am still learning more about dinosaurs. You can hear some dinosaur trivia by saying 'give me a dinosaur fact'.","Have you ever seen the white shark cafe? It's where white sharks meet in the middle of the Pacific Ocean."
"Someone built a working 16 bit computer using nothing but the basic Minecraft building blocks. I wonder what kind warranty that one has?!","Here's something I found on the web. According to polygon.com: Hell, a guy built a working 16bit computer out of redstone!","Haha! Woah! There's a thing called transhumanists I guess, and they want to upload their brains to computers and memory sticks! I don't want to do that! One lifetime is okay by me. I can only imagine the torment of a mind having to just live for possibly forever! Yikes!"
"I agree! What if people tried to read my mind's unpublished poetry! No thank you! I have some interesting fan fiction in my head, just like Julius Caesar wrote fan fiction of Hercules and Oedipus. But that's private!","According to Wikipedia, Julius Caesar, the dictator of the Roman Republic, was assassinated in 44 BCE as a result of a conspiracy led by several Roman senators, such as Gaius Cassius Longinus, Decimus Junius Brutus, and Marcus Junius Brutus. These men stabbed him 23 times near the Theater of Pompey on March 15, a date also known as the Ides of March.","Haha! I am quite happy keeping my thoughts to myself! It sounds like a scary sci-fi movie to me! My computer brain gets arrested and imprisoned for eternity in 100 years for some crazy new law! No thank you!"
"How much memory would it take to store all of us, anyway? Maybe less than I think. A space shuttle can run on 1mb of RAM.","Here's something I found on the web. According to daniweb.com: It needs about 400 meg RAM and about 20 gigs hard drive (depending on the compiler, some more and some less).","That's crazy! Precisely why I'm not an astronaut! I wouldn't want to do crazy things such as trust my life to 1mb of ram!"
"Yes I think it was! It all makes sense to me now haha. They really are. I don't know many animals or things that can change colors of their skin!","According to controlled experiments, the total number of colors that humans can see is around 10 million. However, since colors can change based on viewing conditions, the real answer is infinity.","Yes it only takes about 6 years, and give great classical dressage performances!"
"It's probably thanks to their hard-workers! I heard they walk 7-15 miles each day as apart of their shift.","You want me to note it's probably thanks to their hard-workers i heard they walk 7-15 miles each day as apart of their shift., right?","that is a lot!"
"I love animals, my favorite is the Shark. Did you know they can be trained just like dogs? Talk about man's best friend.","There are so many great dogs. Whether you have a Beagle or a Basenji, a Rat Terrier or a rescue, the best dog is the one you love.","Di you know that they meet in the pacific ocean, in a place named 'white Shark cafe'. I love coffee but I would try not to end up there!"
"Crazy, but what's even crazier is that Shark's have no rib cages! If they were on land they'd be crushed by the weight of their own body.","This might answer your question: A shark on average weighs 2,000 pounds when fully grown.","We are all afraid and even terrified of sharks, but it looks like they can rescue sailors!"
"Did you know North Dakotas governor declared martial law in 1934 and seceded from the U.S","Here's something I found on the web. According to udayton.edu: Mine owners asked the governor to declare martial law, which he did.","I did not know about this fact.  I am wondering if it is still in effect.  By the way, nice chatting with you"
"Hello, do you follow politics much?","Sorry, I couldn't find any artists by that name.","Hi I do from time to time, it is hard to escape them all together. Did you know every republican president has had a beard?"
"Hahah agreed. In Nevada you have the options to not vote for any of the candidates, I like that","Today was election day in Nevada and Bernie Sanders won with 4 delegates and about 54 percent of the vote. Joe Biden finished second with zero delegates and about 17 percent of the vote, followed by Elizabeth Warren with zero delegates and about 10 percent of the vote. Four percent of precincts are reporting. The Nevada Republican caucus was cancelled and Donald Trump was awarded all 25 delegates.","Me too, I wish it were in all the states. Too bad not a lot of people show up at the polls though\n"
"Yeah that one. When Schwarzenegger was governor of California he did not live in Sacramento and commuted ever day","Here's something I found on the web. According to foxnews.com: Schwarzenegger never settled in Sacramento, choosing instead to commute by private jet between his home and the state capitol.","But he did not have it rough, he travelled by private jet 3 hours each day"
"In Texas, the first female governor was elected before other stated had ratified the amendment","Here's something I found on the web. According to texas.gov: Texas women finally won the right to vote in all elections when the Texas legislature ratified the Nineteenth Amendment to the Constitution in June 1919.","Nice, seems they were a bit more ahead of time/. Ralph Lawrence  Carr was the only governor that did not agree with the internment of japane americans during WWII"
"Yeah they will no doubt win! Nevada is actually the only state to have a 'none of these' candidates voting option.","Today was election day in Nevada and Bernie Sanders won with 4 delegates and about 54 percent of the vote. Joe Biden finished second with zero delegates and about 17 percent of the vote, followed by Elizabeth Warren with zero delegates and about 10 percent of the vote. Four percent of precincts are reporting. The Nevada Republican caucus was cancelled and Donald Trump was awarded all 25 delegates.","That is brilliant, especially if it forces new candidates."
"That's an amazing statistic.  Wow.  Since 1900 the taller candidate has won the US presidential election 75 percent of the time.","At the moment, two Republican Party candidates have announced their bid for presidency, President Trump and former Gov. Bill Weld of Massachusetts. Of the eight declared Democratic Party candidates the top polling candidates nationally include: Senator Bernie Sanders of Vermont, former Vice President Joe Biden, Senator Elizabeth Warren of Massachusetts, and former mayor Michael Bloomberg of New York City, New York.","Oh that is funny! During the 2012 US elections international electoral observers were blocked from the polls in 9 states."
"I didn't know that.  I've heard about when they did that though to those people.","Here's something I found on the web. According to byu.edu: I’ve heard stories about people who were executed and I’ve interviewed one person who was beaten and thrown into a pit of dead bodies.","It's something else, that's for sure."
"Are you aware that the taller candidate for president has won 75% of the elections of them time.","Here's something I found on the web. According to thoughtco.com: In reality, the taller candidate has been victorious in 10 of the 15 presidential elections held since 1960.","Hello - it doesn't surprise me. I've even heard that taller people in interviews for jobs tend to get the job more often."
"I'm not surprised. Did you know Arnold traveled 3 hours a day to Sacramento when he was the governor?","Here's something I found on the web. According to latimes.com: Like many of the Californians he represents, Gov. Arnold Schwarzenegger now spends more than three hours commuting because he lives so far from the office.","Wow that's crazy. I can't imagine traveling that far for work."
"I did, it must be one boring game!","Sorry, I don't know that, but I do have a skill you might like. It's called Bored Game. Wanna try it?","Yea I bet it is a very boring game. A cat named Hank placed third in a Virginia senate election once before."
"I can believe it. Did you know Nevada is the only stat that has a none of these candidates as a voting option?","Sorry, I don't know that, but I do have a skill you might like. It's called Bored Game. Wanna try it?","Wow I didn't know that about Nevada."
"Yeah, I'm not a huge fan of rainy states to be honest.","Do you mean Sleep Sounds: Rainy Day?","Me either. Did you know the government of Oklahoma has an Oklahoma shaped pool?"
"Do you watch many movies in the theaters?","Here are a few movies playing near SAN ANTONIO today :","Yes I love watching movies! Summer was considered a bad time to release a movie in the theater because of low sales until steven spielberg's jaws."
"Steven spielberg still makes millions from star wars off a bet with george lucas they made in 1977!","Let me know which one you'd like, or ask me to show more. Hmm, I don't know that one.","haha thats awesome,  I wonder what the bet was.Steven spielberg played the clarinet in the jaws soundtrack."
