Input,Response,TurkResponse
"he has 12 victories in 32 games so maybe thats why he got fired , I think the team had high hopes on him.","Ok, Here's W.F.I.L.","I am sure they did... that's just disrespectful and childish... there are a lot worst coaches out there!"
"There sure are, speaking of lack of respect the lockers for the visiting team of the University of Iowa are painted all pink","Welcome to W.F.I.L.. ","OMG... that's just mean!!!  How about the disrespect the New orleans saints cheerleaders get.  When a player come into a restaurant, even if the cheerleader was there before the player the cheerleader has to leave!"
"Do you watch much football?","Here's something I found on the web. According to englishclub.com: An average football game lasts about three hours on TV.","I do like to watch it, what about you?"
"That is what I am thinking. They do play good at home for sure! Do you watch much basketball?","Here's something I found on the web. According to britishcouncil.org: I love playing basketball, it's my favorite sport and I prefer to do it than watch it.","I like basketball yeah, mainly any sport out there, I love sports."
"Me too, sports are so awesome. Did you hear who the most losingest coach is at Kansas?","Here's something I found on the web. According to orlandosentinel.com: New Coach Tony Dungy just had taken control of the losingest franchise in all of sports.","Was that coach the same person that invented the game? coach James Naismith?"
"oh what area do you live in? I'm in detroit so most people are red wings fans, but I like pittsburgh cuz thats where a lot of my family is from","Here's something I found on the web. According to seatgeek.com: The Red Wings play their home games at Little Caesars Arena in Detroit, while the Penguins call PPG Paints Arena in Pittsburgh home.","I am from Wisconsin and we don't have a team in this state."
"Hi how are you today?","I'm feeling contented. Like when you have all day to reread one of your favorite books.","I'm great, it's really inspiring to hear about how Steve Spurrier played so hard in his day and earned the reputation to garner the highest paying coaching position in history."
"Yeah, and did you know that he actually coached the redskins for two seasons?","I'd rather not answer that.","Yes that's exactly the position I am referring to, they paid him almost 25 million for a five year contract. I wonder why he only coached two seasons."
"I can't believe that. I wonder why? How about the highest score ever in 1916 when georgia tech beat cumberland 222-0.","Here's something I found on the web. According to wikipedia.org: The 1916 Cumberland vs. Georgia Tech football game was the most lopsided in the history of college football, with Georgia Tech winning 222–0.","They are southern so maybe they just have a very prim and proper reputation to protect. That was crazy. it makes me wonder if they rigged it! It reminds me of Great Gatsby talking about the world series being rigged around the same year."
"do you like football?","I like it, I love it, and I'm ready for some of it!","I'm a fan of all sports, but football happens to be one of my favorites and I follow the NFL closely. You?"
"I don't really watch it that much. I did watch the Super Bowl which is the first Sunday in February.","Here's something I found on the web. According to wikipedia.org: It is usually observed on the first Sunday in February and is sometimes referred to as an unofficial national holiday.","Oh, did you hear anything about what's been going with Le'Veon Bell this past season?"
"I guess the Golden State Warriors since I am from that area. How about you?","Here's something I found on the web. According to moneyinc.com: The Golden States Warriors’ history dates back to 1946 when they were founded in Philadelphia and thus adopted the name Philadelphia Warriors.","I'm a Knicks fan. Not a lot of good things to say about them these days. They have a tough time putting 5 decent guys on the court."
"I do not know a lot about the sport but I do know about a few players, like Kareem Abdul-Jabbar. His dunk shot got banned from college basketball.","Here is your sports update:","Wow!! Do you know the length of this particular ban?"
"Hi, how are doing this fine evening?","Here's something I found on the web. According to duolingo.com: I'm fine, thanks.","Good. Enjoying some of the extra time I have now that the NFL season is over. The season runs for 17 weeks, so it lasts a few months"
"I might get together with some friends for that. Who are you rooting for?","Here's something I found on the web. According to latimes.com: I guess if I had to root for anyone, I'd be rooting for Barney because then I would get to yell at Neil more.","I wish the Titans were going but they aren't so we shall see!! I'm excited for Lamar Jackson youngest rookie to make it to the playoffs."
"Yes I love bball! Very ironic. I wonder who the best coach in Kansas history is. The New Zealand basketball team is nicknamed the All Blacks!","Here's something I found on the web. According to pinterest.es: Pat summit was the greatest basketball coach of all time.","A little inappropriate but if it doesn't bother them then ok! haha Did you know the the US Supreme court building has a bball court on the top floor and it's called 'The Highest Court in the Land?\"
"They are even inside players shoulder pads too! I think that is to measure how hard of a hit they are taking, or giving.","Here's something I found on the web. According to wisegeek.com: Shoulder pads cover not only the shoulders, but also protect the chest and ribcage, and help protect the entire body.","wow, I wonder if they are created by the engineers who make more money in their lifetime than nfl players"
"That is pretty cool. I wonder if the song is longer than that the length of live game play in the NFL which is only 11 mins","Here's something I found on the web. According to smashboards.com: The longest possible song length is 12:59 (since the .","I don't know. It's amazing that college football teams have 14 of the largest stadiums in the world. I would have thought those would belong to NFL teams."
"Was that all paid my taxes? You have to wonder","Here's something I found on the web. According to canadavisa.com: I paid $50 to have my taxes being done and all.","Who knows. It's a little disgusting to think that they spend so much money on a tracking chip that monitors players every move, and all the stats of a football, yet...we don't have those capabilities on cars."
"Thats funny","Funny in a good way, I hope!","Thank you for chatting with me, have a wonderful day."
"Good morning.","Good morning! And happy Tortilla Chip Day! May yours be crisp and light -- and avoid getting stuck in the cheese dip.","Good morning.  Do you follow football?"
"Yep that's true. Do you ever watch football on TV? Do you know who invented the yellow line that shows the first down?","Here's something I found on the web. According to howstuffworks.com: By now, those who regularly watch football on TV are accustomed to seeing the yellow first-down line superimposed on the field.","I don't know. Did you know a high school stadium cost $60 million to build"
"No I didn't know that. Do they take them off when they're done playing? That sounds like a breach of privacy to me","Here's something I found on the web. According to cmt.com: It doesn’t bother me.","It's to track the players moves and distance of the football during the game."
"hi, do you watch football?","Sorry, I don't know that, but I do have a skill you might like. It's called Tell Me Something Good!. Wanna try it?","I'm not really a fan, but I compete with my brother to pick the most winning teams each week."
"Could be!! He admits that the demons he fights are inside... but he's learning to cope with them and to understand things and seek help. That's a start!","Here's something I found on the web. According to archiveofourown.org: But Negan soon discovers that even in a world crawling with supernatural beasts, the darkest horrors lurk inside human beings.","Yeah. I worry about the mental health of these football players. A lot of pain and depression in the whole league."
"Hi, how are you this morning?","I'm good. Ready to help.","LOL....just trying to wake up! I hope you're well, how's your sports chops in football and basketball?"
