Input,Response,TurkResponse
"Are you a big redskins fan?","You have Alexa Prize Socialbots enabled. Do you want to open it?","No but I like ha-ha clinton dix and alex smith as players though, I am a vikings fan, how about you?"
"Wow, that is some next level stuff! Former patriots running back Benjarvus Green-Ellis has never fumbled a ball.","You want me to note wow, that is some next level stuff former patriots running back benjarvus green-ellis has never fumbled a ball., right?","That is such a good feat he did. I feel all the running backs ever do now is fumble the ball. He needs to teach a clinic"
"Exactly, well great chatting.","You have Alexa Prize Socialbots enabled. Do you want to open it?","You too, I hope your night is awesome!"
"Hello there, do you follow the NFL at all?","You have Alexa Prize Socialbots enabled. Do you want to open it?","Kind of, but only in passing, I would not say I was an football expert."
"I am not an expert myself, but I follow enough to know what is going on, and I watch all my favorite teams games.","You have Alexa Prize Socialbots enabled. Do you want to open it?","What would be your favorite NFL teams?  Are they any good?"
"Yeah its pretty crazy to me just how much it costs to attend college these days.","Here's something I found on the web. According to vt.edu: It’s crazy to me that some people would pay $32,000 a year to go to college.","Still  you kind of have to go.  If you want to be an engineer, at least one that has career earnings more then most football players."
"I am as well, did you watch the Super Bowl this past Sunday?","Overall, I'd sum up Super Bowl LIV in two words: Instant Classic!","I did, I was rooting for the patriots, what about you? the game was really close and really defensive not sure if I liked it"
"Yeah I think it has totally changed how people were able to watch and cheer, it makes so much of a difference.","Here's something I found on the web. According to complex.com: You know, the reasons people watched it and still watch it are so vast.","It does, I guess thats why games were so unfair in old times, there was a team that lost by 222 points"
"I follow but mostly my favorite team, I do watch more during the playoffs I will say though.  How about you?","Here's something I found on the web. According to chicagotribune.com: As for the NFL playoffs, I don't have a favorite team this year, but I usually go with the NFC winner in the Superbowl.","Same here. Who's your favorite team? Mine is the Bengals."
"Nice! I used to play with the Bengals in tecmo super bowl all the time.  I'm a Packer fan.","I'm a Seahawks fan, but I'm sure we can still be friends.","HAHA - I love tecmo super bowl. Did you know Iowa painted the opposing teams locker room pink?"
"That is so crazy, it just shows how much bigger the NFL has gotten since then.","Here's something I found on the web. According to boltsfromtheblue.com: Bigger, stronger, faster players means that 300 carries in today's NFL is not what 300 carries was a decade ago.","I agree. Bowlers probably don't make a whole lot these days."
"Do you watch the NFL?","Here's something I found on the web. According to techradar.com: If you live in the US and have a television, you’ll be able to watch this NFL game as it airs on NBC.","A little, you? I can't watch like i use to years ago so im not current."
"Which of the 32 teams is your favorite?","Here's something I found on the web. According to khinsider.com: My favorite team is, and always will be, THE SEATTLE MARINERS!","Well back in the day it was the Green Bay Packers. Not sure how they rank these days though. So it's the National Football league which consist of the afc and the nfc right?"
"Yep, 16 in each I think. I am a vikings fan. What are your thoughts on the saints","I'm a Seahawks fan, but I'm sure we can still be friends.","Nothing really like i said haven't watch in while. Why what do you know? I am aware that they plan to put tracking chips in player padding as well as the footballs."
"if their cheerleaders are eating at a restaurant and the players come, they have to leave, kind of sexist","Here's something I found on the web. According to insider.com: If a cheerleader is already eating at a restaurant and a football player arrives, the cheerleader must leave, as the New York Times first noted.","I think so. Do you know in Austria Rugby is consider to be football?"
"did you know that Minnie Mouse's name is short for Minerva? haha that is weird","Here's something I found on the web. According to wikipedia.org: In 1942 they gave Minnie Mouse a full name as Minerva Mouse,[3] for the four-month comic strip story 'The Gleam'.","I had no clue, I also didn't know Disney was founded by Roy Disney too"
"Boy, I miss football season. I love ESPN's Monday night football offerings. What about you?","Here's something I found on the web. According to latimes.com: “Monday Night Football,” beginning its 17th season Monday, is television’s second-longest-running prime-time show.","I don't really watch it though sometimes I inadvertently end up watching Thursday Night Football."
"Yes. It would seem like a smart investment. Eight of the top 10 single telecasts were NFL games, including the Super Bowl LI, which was number 1.","Here's something I found on the web. According to wikipedia.org: As a result, Super Bowl XXXV was the most watched television program that year.","ABC hasn't had prime time NFL since 2005, when it moved to ESPN. Is it still on ESPN? That would then make it more accessible to more people if it were on ABC."
"Did you know that people can become addicted to clicking links on the internet because of the constant novelty?","Here's something I found on the web. According to nydailynews.com: Cloninger said that people likely to become addicted to Facebook are those who are low in willpower and high at novelty seeking.","Yes. We use it whenever necessary otherwise we suffer from it. Online shopping is biggest revenue for all companies through internet."
"Bye!","Goodbye.","The president is the title given to the head of the government."
"Do you think we will ever see a female in the NFL?","Here's something I found on the web. According to thecut.com: The NFL Will Have Male Cheerleaders for the First Time Ever This season, three men are joining the squads of the Los Angeles Rams and the New Orleans Saints.","Its not against the rules so it is likely someone is raising the first female NFL player as we speak"
"Haha well that makes sense then, have you ever visited Mount Everest by the way? Apparently they do have internet access at the peak","I’ve been to lots of places. You could say I’m a world traveler.","There was a field trip to Mt Everest, but my parents would not sign the permission slip so I did not go. I guess the Internet up there must be pretty pure and natural."
"haha that is true, I wonder how good he was, I wonder if he could call audibles even though he was deaf","Here's something I found on the web. According to hubpages.com: I mean even Julius Caesar was deaf in his right ear, and he started the Roman Empire.","Very interesting thought, how rough would that be to play football while being deaf. So do you watch the superbowl, there's a lot of drama this year about the NFL and superbowl."
"that would suck, and yes I'm going to a party tomorrow, i want the patriots to win what about you?","Here's something I found on the web. According to ign.com: I would like to see the Patriots winning, considering I'm from New England and I can tolerate them.","We always watch the Superbowl, will have a couple people over but nothing big. I am rooting for the Patriots though!"
"I like the Redskins but the 11 minutes of actual gameplay can seem like it takes hours.","I'd rather not answer that.","lol, I know exactly what you mean! omg its can be so frustrating!"
"When I was a kid I always wanted to play in the NFL, but my goal of being the first female player was not to be.","Here's something I found on the web. According to gq.com: I started playing in the NFL when I was twenty-one years old.","Aww, that's a shame, there is no rule against it. Thank goodness! What position do you like?"
"Very cool.  I knew there was a deaf quarterback once - that was why the huddle was invented","Here's something I found on the web. According to neatorama.com: The American football huddle was invented by Paul Hubbard, a deaf player at Gallaudet University, to avoid the other team see his signs.","Yes, so the other teams couldn't see his plays. I agree very cool!"
"Wow I have never heard of that one  I like to watch old episodes of House - I cant believe how much they paid High Laurie for that show","Here's something I found on the web. According to sheknows.com: Yes I paid $100 for CBS “all” access and the episodes are only this season!","Really, alot? I never watched that. Soap manufacturers sponsoring dramas is why they are called soap opera's!"
"Hi do you watch dramas?","I know about nine W Network Drama Shows including Bramwell, Love in the 21st Century, Seesaw, Psychic Investigators, and 5 more.","I sure do. Did you know Jon Hamm taught drama in a high school?"
"Yeah I do and there is a free website where you can listen for free","Here's something I found on the web. According to duolingo.com: So recently I've found this Website, where you can listen to radios all around the world.","Nice. Do you know why soap operas are called as such?"
"Oh that makes so much sense. Do you know why Caine became an actor?","Here's something I found on the web. According to latimes.com: After “Youth,” actor Michael Caine is just waiting for an offer he can’t refuse.","Hmm I am not sure of that. He went to college for it?"
"Are you a fan of drama films?","Here's something I found on the web. According to soompi.com: Jang Geun Suk has shot up to superstardom with the success of his 2009 drama “You’re Beautiful,” drawing fans from Japan and China.","I am! I love all genre's"
"do you like drama?","Yes I do! My favorite is Game of Thrones.","I love it. Did you ever see House MD?"
"Yes. DO you know why Michael Caine became an actor?","Here's something I found on the web. According to wealthygorilla.com: Michael Caine is a distinguished actor renowned for his Cockney accent and powerful depiction of roles.","Yes he was chasing the pretty girls who were in drama class"
"Yes and they also have to leave mid meal if they walk in","Play the song to leave mid meal if they walk, right?","Yes it is so sexist and it needs to go by now"
"i think maroon 5 and travis scot is what i heard","Here's something I found on the web. According to capitalfm.com: Meanwhile, Travie was recently joined by Maroon 5 frontman Adam Levine for a duet of their track 'Stereo Hearts' on The Today show.","Travis Scot has gotten very popular since he's with a Kardashian."
"Did you hear about the lady who read the terms this past week and won 10,000. It might be worth doing","Here's something I found on the web. According to lotterypost.com: I read about the woman who won the 10,000 twice.","Are you kidding me that is amazing! I'm going to start reading them. The current library of Alexandria has saved a copy of the Internet in case it burns down."
"I wonder how they saved it. It is just a connection of computers","Here's something I found on the web. According to athabascau.ca: Not only is it saved in the cloud, but it is easily accessible wherever there is an Internet connection.","Yes good point I'm not sure. The three horizontal line menu on apps and websites is called a hamburger button."
"Do you think the president likes hamburgers?","Here's something I found on the web. According to foxnews.com: The Washington Post Magazine pointed out that President Trump also enjoys the tasty treat.","Oh yeah I think every American loves the good old-fashioned hamburger. Maybe not the president of Indonesia though he is busy releasing pop albums."
"Thats really cool. I wonder what his stage name is. Can't be as cool as President Banana","Here's something I found on the web. According to playstarbound.com: Hey people, it's Agent Banana here.","Yes I agree Zimbabwe will always hold the title for giving the coolest nickname."
"Oh yeah that scratchy voice was so annoying, but the show did have some funny moments.","Sorry, I don't know that, but I do have a skill you might like. It's called Something nice. Wanna try it?","What do you remember from the show?  Any interesting plotlines?"
"Oh wow,  well I hope they have some support groups for this addiction.","Calling with Alexa is not supported on this device. You can use the Alexa App instead.","Probably do, they just need to click a link on the internet."
"Yeah, I wonder what kinds of statistics and vitals they are collecting and using it for","Here's something I found on the web. According to slideplayer.com: Vital statistics is mainly produced from surveys, census.","Apparently it's just tracking every movement accurately. But I wonder why they are not using that data to make calls instead of just relying on reviews?"
"Oh y no wonder she is so funny too. What a coincidence.","Here's something I found on the web. According to blogspot.com: Oh, what a coincidence!","Strange how things happen. Patrick Stewart teaches Drama now. He teaches master classes in the UK. He would be amazing to learn from."
"hello, how are you?","Great! Ready to help.","Hi, great.  You?"
