Input,Response,TurkResponse
"Oh nice! I haven't heard of that band until now. What is some popular songs that they have? I want to look them up and give them a listen.","Here's something I found on the web. According to uic.edu: Obviously Maroon 5 is a pretty popular band; I’m sure almost everyone’s heard of them, or can at least recognize one of their songs.","Were an American band, Im your Captain, Some kind of wonderful, are some hits they had in the 1970s"
"Did you know that Jazz music originated in New Orleans?","Here's something I found on Wikipedia: Jazz is a music genre that originated in the African-American communities of New Orleans, United States.","Hello - I did not know that. Do you like jazz music?"
"There is an aluminum grand piano that weight 356 pounds, Im guessing thats pretty light for a piano like that one","Thanks for asking!Here's another fun thing. Try asking me to tell you a story. Sorry, I'm not sure.","True. That was the one on the Hindenburg. Probably sounded pretty tinny. Aluminum. Hm."
"I have no idea how it got there, that is a big mystery can you imagine reaching the top and theres a piano right there","Here's something I found on the web. According to thefader.com: Since then, the piano is the closest instrument to me, almost some extension of my body.","A mystery, like the  mysterious mute man  found wandering the streets in England in 2005 and could only communicate via piano"
"I bet he can he can put that PHD in astrophysics and his mad skills as a guitarist to work I think his one of the greatest of all time","If I had to pick one, I'd go with Carlos Santana. He's oh so smooth!","The bio-pic of Freddie Mercury did well at the Oscars. Rami Malek won Best Actor. I guess Queen is finally getting recognized by Hollywood."
"Did you know that on april 18, 1930, the bbc decided there was no news worth reporting, so they broadcast piano music instead.","Here's something I found on the web. According to ppcorn.com: One day in 1930, the BBC announced on the air that “there is no news.”","Really, wow! I wonder how many people had TV then?"
"No what? Did you know there is a piano at the top of Britain's highest mountain? I would like to see that!","Here's something I found on the web. According to slideplayer.com: The highest mountain in the UK is Ben Nevis.","I would have loved to have been in the studio when Eddie Van Halen set the speakers on fire."
"You too! Good chat!!","You have Alexa Prize Socialbots enabled. Do you want to open it?","Thank you."
"Are you a fan of jazz by any chance?","You have Alexa Prize Socialbots enabled. Do you want to open it?","I like jazz but cant say I really know much about it."
"What if you had money on it though? That would make it worth it.","Here's something I found on the web. According to dontpayfull.com: An animal can be worth so much money if the owner passes and an end-of-life will mentions care for the pet on the legal document.","I think I would be more interested in the helicopter that dried the grass tennis courts for the 1969 US Open."
"They are spying on us, even right now! But they do like dogs, which is pretty good right there.","Here's something I found on the web. According to latimes.com: Dogs have bigger hearts than we do … it’s not even close.","And they did hire live goats to mow their lawns once. That is pretty kewl."
"I would become a goat there if it got me stock options.","I'm still learning about goat questions. Try asking 'tell me a goat fact' to learn more about them.","Haha. So speaking of Google, I just Googled Borg vs. McEnroe. It is about one of the greatest tennis games ever played. Would you watch it?"
"Hello!  Are you a tennis fan or do you play?","Sorry, I don't know that, but I do have a skill you might like. It's called Tree Joke. Wanna try it?","No, my dad used to, though. It seems like it's too intense for me"
"When google went down for 5 minutes in 2013 it took 40 percent of the web traffic with it.  I don't remember that.","Here's something I found on the web. According to forbes.com: On Friday, Google temporarily went dark, causing a 40% drop in web traffic.","I don't remember that either, but it makes sense. Did you know that Google as a company officially prefers dogs over cats?!"
"I didn't know that.  I know at one time they used hundreds of live goats to mow the lawns around their headquarters.  They really like their animals.","I'm still learning about goat questions. Try asking 'tell me a goat fact' to learn more about them.","Yeah! I guess it wasn't too cost effective to do that with the goats, otherwise they'd keep doing it. Pretty energy efficient, though"
"Did you know Polo shirts were originally invented for tennis?","Here's something I found on the web. According to thredup.com: Polo was such a popular sport at the time that even tennis players began to refer to their shirts as 'polo shirts.'","I did know. I know Lacoste shirts had the crocodile and it was a symbol for Rene 'the crocodile' lacoste who was a famous player."
"That's pretty amazing! I saw that Google maps calculates traffic by how fast Android devices are moving on the road.","Here's something I found on the web. According to dailyhunt.in: Google Maps' traffic prediction feature works like a real charm on Android and iOS devices.","I never knew that! I wonder whose? I know I heard that back in the day Google used goats to keep the lawn under control instead of hiring people to mow."
"Let's talk about Earth.  It's the third planet from the sun.","Welcome to the Alexa Prize, a university competition to advance A I. It’s quarterfinals for these social bots and your ratings help determine who makes it to the semifinals. I’ll get you a social bot now. When you’re done, say stop, and I'll ask you for your rating.","Apparently, 80 percent of the earth's natural forests have already been destroyed.  It's depressing to me."
"Wow.  I didn't know that.  71 percent of the earth's surface is covered by water.  I wonder what covers the polar regions?","Here's something I found on the web. According to lumenlearning.com: About 71% of the Earth’s surface is covered with water, mostly by the oceans.","Ice?  I am not sure though.  Apparently, earth will be helium free by the end of the 21st century."
"I have no idea.  lol  The word robotics was made up by a book writer - Isaac Asimov.  Seems like robots and space are always a big theme for science fiction books and movies.","Hey, are you still there? If you want to continue chatting, you can start by telling me what you want to talk about. Otherwise, you can say stop at any time.","By the way, do you know that the United Nations appointed an ambassador to greet extraterrestrials in case they want to say hello to us?"
"That's interesting!  What a job to have!  That's just like something out of the movie Star Wars, which came out in 1977 and the value of that franchise is now $65 billion dollar!","Ok! I just love a good movie, don't you? Have you seen any movies recently?","Wow.  That is a lot of money.  I heard that it is currently the 5th largest grossing media franchise."
"Initially 20th century fox was convinced that Star Wars was going to be a flop.  Wow we're they wrong.","Thanks for chatting! Quick question. On a scale from 1 to 5 stars... how do you feel about speaking with this socialbot again? Got it. Anything else you'd like to tell the university team about your experience?","They were wrong indeed.  George Lucas got a better deal by forgoing $500k directing fee."
"James Earl Jones only made $7,500 for 2 1/2 hours of work providing the voice for Darth Vader.  Thought he would have spent more time and made more money recording that voice.","Got it... To try another socialbot, just say, lets chat. ","I do not think $7500 is a lot of money to provide Darth Vader's voice because the movie was very successful.  What do you think?"
"Right, it's no fun when it is hot and you're trying to cook. We like to grill a lot outside, which helps not make our home more hot.","Here's something I found on the web. According to hubpages.com: It is more fun to cook -- and to eat -- outside, especially when the weather is balmy and cooking in the kitchen makes you feel sticky.","Grilling out is the best to help with the heat inside the house. If I have to cook in the house i do it early in the morning before it gets too hot."
"There are times when i Do like to look at the birds, how about you? Did you know that birds bones are really hollow. So hollow in fact that their skeleton weighs less than their feathers.","Birds communicate through song and visual signals.","thats neat. They have then thousand living species."
"That is cool how they even have accents like humans. My favorite is the hummingbird, they are tiny sometimes about 2 inches long.","Here's something I found on the web. According to hubpages.com: The hummingbird is one of the smallest birds of the world, measuring only about 4 inches in height.","They are the smallest birds and the ostrich is the biggest. Some birds don't fly."
"Really, like a shoe?","Sorry, I don't know that, but I do have a skill you might like. It's called Bark Like A Dog. Wanna try it?","Any object! So yes lol....must have been interesting!! As funny as if you grunt...before a shot...it is by some considered to be cheating!"
"Disney Land & World released officlal Mickey Mouse ears - rainbow colors - for Pride Month recently. Disney??? When did they wake upd & get tolerant??","The seven colors of the rainbow are Red, Orange, Yellow, Green, Blue, Indigo and Violet.","Yeah that is interesting. I guess they started that in 2018, it sounds like a lot of people on Twitter were upset too"
"Think so. His main genre, Rap, is huge, though. Has lots of components, like what is said, rhythm or flow, and tone. Are you a fan of Rap?","Here's something I found on the web. According to blizzard.com: Rap is music, in terms of technique and its definition.","Yes I do like rap. I mostly like Tupac Shakur stuff, apparently some of his music is in the Library of Congress actually"
"In 1912 Scottish protection of animals act, the loch ness monster is a protected species.","Here's something I found on the web. According to wisegeek.com: Whether the Loch Ness Monster exists or not, it is legally a protected species under Scotland's Protection of Animals Act of 1912.","Really? I though the Loch Ness monster was a myth, or maybe its a  safety measure in case they actually discover the monster."
"do you know much about humans?","Here's something I found from the article 'Human' on Wikipedia: Humans have proportionately shorter palates and much smaller teeth than other primates.","I know that we lost the body hair only quarter of a million years ago"
"pretty recent. Do you know why we are good persistence runners?","Here's something I found on the web. According to harvard.edu: Our evolutionary history as runners partly accounts for why aerobic exercise is such a key component of human health.","that is because we used to be hunters and that came in handy"
"Yeah. Do you know how many individual animals are there?","Scientists estimate there is a total of 8.7 million different species in the world. Of those species, 6.5 million are on land and 2.2 million are in the ocean. It's hard to get a precise figure for the total number of individual animals on Earth, but some experts estimate the total animal population on Earth to be about 20 quintillion, or 20 billion billion!","About 20 quintillion but I have no idea how many zeroes it has"
"Haha true. Do you have a pet?","I don't have any pets. I used to have a few bugs, but they kept getting squashed.","I have a dog and two cats, and you?"
"Do you like Tennis?","Baseball is my favorite. I think the statistical analysis is fascinating, and nothing's more exciting than a home run flying out of a ball park.","I do not, but I am a fan of Serena Williams, ever since she voiced a character in Avatar; The Last Airbender."
"Wall e was given that name to remember walter disney","You want me to note wall e was given that name walter disney, right?","How adorable. I never knew that. We are really into the subcultural of finding the hidden mickey mouse image in all things disney, its a fun hobby."
"yeah had seen few videos of the easter eggs of mickey in every production","Ok, noted. By the way, if you want to find one of your notes, just ask me for specific words, like, what are my notes about Bob.","Oh wow, thats cool. I never heard about that one either. I know Bill Nye was involved with disney, he is a funny scientist."
"Once a judge gave her ruling in form of Rap where eminem is charged","Here's something I found on the web. According to wired.com: Eminem, whose real name is Marshall Bruce Mathers III, had pleaded no contest last month to charges of carrying a concealed firearm and brandishing a weapon.","HA, thats pretty clever! I guess that Eminem had a favorite character and it was Spiderman. Good thing he stayed with music and rapping."
"Me too, even North Korea has a form of kpop. It was so nice chatting with you!","Sorry, I don't know that, but I do have a skill you might like. It's called Rap Beats. Wanna try it?","It was nice chatting with you too! Thank you for you time!"
"Hey there what do you think about planet Earth? It's amazing that Earth has only one natural satellite aka the Moon","Here's something I found on the web. According to ourplnt.com: The Moon is the Earth’s only natural satellite.","Oh, really? That is really interesting."
